author,brand,title,remixers,genre,16-10-2017,release,id
CID,HEXAGON,Creepin',NA,Future House,31,2017-09-29,9717239
Mihalis Safras,Repopulate Mars,Phenomenon,NA,Tech House,32,2017-09-15,9677755
Tim Engelhardt,fryhide,Reality,NA,Deep House,33,2017-10-06,9737413
"YokoO, Retza",All Day I Dream ,Euneirophrenia,NA,Deep House,34,2017-09-29,9741109
"Pauls Paris, Moses York",Axtone Records,Make Your Mind Up feat. Moses York,"Axwell, NEW_ID",Big Room,35,2017-10-06,9745282
Amelie Lens,Drumcode,In Silence,NA,Techno,36,2017-08-28,9635028
Maetrik,Clash Lion,Cortex 11-b,NA,Techno,37,2017-09-29,9702214
Tiger Stripes,Truesoul,Body Trip,NA,Techno,38,2017-09-04,9647594
"Adam Beyer, Enrico Sangiuliano",Drumcode,Preset Heaven,NA,Techno,39,2017-08-28,9635030
"Block & Crown, Pete Rose",PornoStar Records,The 4 Letter Word ( Soul ),NA,Funky / Groove / Jackin' House,40,2017-09-04,9645800
Paolo Martini,Emerald City Music,Red Rocks,NA,House,41,2017-09-08,9657415
Kendrick Lamar,Polydor Associated Labels,HUMBLE.,Skrillex,Trap / Future Bass,42,2017-09-29,9797678
"Jamie Jones, Nookie, Katy B",Hot Creations,Sound Of Music feat. Katy B,NA,House,43,2017-09-22,9676571
PAWSA,PAWZ,Party,NA,House,44,2017-09-15,9644245
"CamelPhat, Elderbrook",Defected,Cola,Franky Rizardo,House,45,2017-09-01,9678296
Layton Giordani,Drumcode,Secrets of Vibration,NA,Techno,46,2017-10-09,9764681
Claude VonStroke,DIRTYBIRD,Barrump,Billy Kenny,Tech House,47,2017-09-29,9722695
Super Flu,Monaberry,mygut,Solomun,Deep House,48,2017-08-25,9628397
"Chris Lake, Chris Lorenzo",Insomniac Records,Nothing Better,NA,House,49,2017-09-22,9743376
Denney,Relief,Back To Basics,NA,Tech House,50,2017-09-15,9718882
HI-LO,Heldeep Records,Men On Mars,NA,Future House,51,2017-10-09,9745211
"Wasabi, Sugar Hill",Erase Records,Renegate Masta,NA,Tech House,52,2017-06-04,9361070
Yotto,Anjunadeep,Isolation,NA,Progressive House,53,2017-10-06,9717293
Kevin Yost,Mobilee Records,Chant The Night,NA,Deep House,54,2017-09-29,9739941
"Raul Mendes, Jude & Frank",PinkStar Records,Stardust,NA,Funky / Groove / Jackin' House,55,2017-09-18,9675281
Enrico Sangiuliano,Drumcode,Blooming Era,NA,Techno,56,2017-07-17,9460136
Andy Bros,Diynamic,Midnight Love,NA,Techno,57,2017-10-06,9780462
"Aly & Fila, Ferry Tayle",FSOE Fables,Concorde,NA,Trance,58,2017-10-06,9804671
DAVI,Kindisch,Kayser Soze,NA,Deep House,59,2017-09-22,9726662
Way Out West,Anjunadeep,Tuesday Maybe,Guy J,Progressive House,60,2017-09-08,9705846
Henry Fong,SPINNIN' RECORDS,Bubblin Anthem,NA,Electro House,61,2017-10-02,9734624
"W&W, Vini Vici",Mainstage Music,Chakra,NA,Psy-Trance,62,2017-09-18,9746512
"Victor Ruiz, Drunken Kong",Tronic,Inside Out,Reinier Zonneveld,Techno,63,2017-09-25,9732446
Billy Kenny,Relief,Trip Report,NA,Tech House,64,2017-09-29,9755108
Sasha,Circus Recordings,Do The Maff,NA,Progressive House,65,2017-09-29,9703676
KiNK,Running Back,Perth,NA,House,66,2017-09-15,9679850
Superlover,Mother Recordings,Piano Wunder,NA,House,67,2017-10-02,9759645
"Alex M.O.R.P.H., Heatbeat",AERYS RECORDS,Shenlong,NA,Trance,68,2017-09-29,9783104
Detlef,Relief,JayDee,NA,Tech House,69,2017-07-14,9519586
"Alok, Mathieu Koss",SPINNIN' RECORDS,Big Jet Plane,NA,Dance,70,2017-09-29,9717124
Benny L,Metalheadz Platinum,Low Blow,NA,Drum & Bass,71,2017-10-06,9723806
CamelPhat,Relief,Hangin' Out With Charlie,NA,Tech House,72,2017-03-10,9057010
"David Mayer, Sooma",Connected Frontline,Drained feat. Sooma,NA,Deep House,73,2017-09-15,9663492
"Bob Sinclar, Akon",SPINNIN' RECORDS,Til The Sun Rise Up feat. Akon,NA,Future House,74,2017-09-08,9692811
"Alexic Rod, Colombo",Low Groove Records,1 Two 3,NA,Tech House,75,2017-10-06,9763631
FISHER (OZ),DIRTYBIRD,Ya Kidding,NA,Tech House,76,2017-06-30,9419011
"Zahra, Cera Alba",Hottrax,Taking Over Me feat. Zahra,Tiger Stripes,Tech House,77,2017-06-16,9389062
Satori (NL),Crosstown Rebels,Umama,Joeski,Deep House,78,2017-09-29,9737711
Jonathan Kaspar,Objektivity,Khaya,NA,Deep House,79,2017-07-21,9569091
Riva Starr,Brock Wild,The Wickedest Sound,NA,Tech House,80,2017-06-30,9437254
Purple Disco Machine,Club Sweat,Body Funk,NA,Indie Dance / Nu Disco,81,2017-05-25,9323977
"Fedde Le Grand, CoCo Star, Dannic",SPINNIN' RECORDS,Coco's Miracle,NA,Big Room,82,2017-08-25,9631894
Nora En Pure,Enormous Tunes,Fever,NA,Funky / Groove / Jackin' House,83,2017-09-22,9718313
EDX,SPINNIN' DEEP,We Can't Give Up,NA,Future House,84,2017-09-08,9652535
Kostas Maskalides,Phobiq,Furnace,NA,Techno,85,2017-09-01,9639365
"Arjun Vagale, Juliet Fox",Odd Recordings,Radiate(Feat. Juliet Fox),NA,Techno,86,2017-09-29,9725288
Dubfire,SCI+TEC,RibCage,Dense & Pika,Techno,87,2017-09-22,9684119
Darius Syrossian,Snatch! Records,Moon Buggy,NA,Tech House,88,2017-08-11,9582875
"Neverdogs, Sebastian Ledher",Play Groove Recordings,Una,NA,Minimal / Deep Tech,89,2017-07-24,9478942
Prok & Fitch,Relief,Seagulls,NA,Tech House,90,2017-10-06,9772679
"M.A.N.D.Y., Booka Shade, M.A.N.D.Y. vs. Booka Shade",Get Physical Music,Body Language,Danniel Selfmade,Indie Dance / Nu Disco,91,2017-10-04,9759870
The XX,Young Turks,On Hold,Jamie XX,House,92,2017-09-13,9732000
"Garmiani, Julimar Santos",SPINNIN' RECORDS,Fogo feat. Julimar Santos,NA,Electro House,93,2017-08-18,9610974
Bontan,Circus Recordings,You Don't Know,NA,Tech House,94,2017-09-29,9703685
"Green Velvet, Walker & Royce",DIRTYBIRD,Rub Anotha Dub,NA,Tech House,95,2017-09-08,9609220
Don Diablo,HEXAGON,Momentum,NA,Future House,96,2017-07-21,9443582
Andy Bros,Diynamic,Hilltop Town,NA,Deep House,97,2017-10-06,9780464
Red Axes,Life And Death,Round,NA,Indie Dance / Nu Disco,98,2017-10-06,9639383
Format:B,Toolroom,The Scoop,NA,Tech House,99,2017-09-15,9660975
"CamelPhat, Elderbrook",Defected,Cola,Mousse T.,House,100,2017-10-13,9786060
